?"index", "key"                                                   , "keySource"                                                             , "text"                                                 , "tag", "frameUrl"                                          , "visible", "locatorSuggested"                                                      , "id", "class"    , "href"              , "onclick", "data_modulo_funcao"     , "data_modulo", "data_funcao"         , "data_href"                                                                                                                                                                                                       , "data_tipo_funcao", "data_tipo_link"
"16"   , "k_12_CTM16_1_6"                                        , "12.CTM16.1.6"                                                          , "Abertura Parcial"                                     , "a"  , "http://10.130.113.19/TSNMVC/TSNMVC/Home/AreaLogada", "False"  , "page.locator('[data-modulo-funcao=""12.CTM16.1.6""]')"                 ,     , "item-menu", "javascript:void(0)",          , "12.CTM16.1.6"           , "12"         , "CTM16.1.6"           , "/TSNMVC/ContasMedicas/AberturaRevisaoTiss?PT=Abertura Parcial&pm=12&pcf=CTM16.1.6&pprf=TI_SAUDE_ANS_ANL_SR,ADMIN&PPRM=N,N,N,N,N,S&tipoFuncao=X"                                                                  , "X"               , "link"
"17"   , "k_79_RBM1701_2_1"                                      , "79.RBM1701.2.1"                                                        , "Abertura reanálise"                                  , "a"  , "http://10.130.113.19/TSNMVC/TSNMVC/Home/AreaLogada", "False"  , "page.locator('[data-modulo-funcao=""79.RBM1701.2.1""]')"               ,     , "item-menu", "javascript:void(0)",          , "79.RBM1701.2.1"         , "79"         , "RBM1701.2.1"         , "/ace/mvcToAsp.asp?../../rbm/asp/rbm1032a.asp?ind_forma_abertura=REA$$$p=&PT=Abertura reanálise&pm=79&pcf=RBM1701.2.1&pprf=TI_SAUDE_ANS_ANL_SR,ADMIN&PPRM=S,S,S,S,N,N&tipoFuncao=A"                              , "A"               , "link"
"18"   , "k_12_CTM16_1_5"                                        , "12.CTM16.1.5"                                                          , "Abertura Revisão"                                    , "a"  , "http://10.130.113.19/TSNMVC/TSNMVC/Home/AreaLogada", "False"  , "page.locator('[data-modulo-funcao=""12.CTM16.1.5""]')"                 ,     , "item-menu", "javascript:void(0)",          , "12.CTM16.1.5"           , "12"         , "CTM16.1.5"           , "/TSNMVC/ContasMedicas/AberturaRevisaoTiss?PT=Abertura Revisão&pm=12&pcf=CTM16.1.5&pprf=ADMIN,TI_SAUDE_ANS_ANL_SR,SINISTRO_AVISO&PPRM=N,N,N,N,N,S&tipoFuncao=X"                                                  , "X"               , "link"
"19"   , "k_12_CTM12_4_7"                                        , "12.CTM12.4.7"                                                          , "Abertura Total"                                       , "a"  , "http://10.130.113.19/TSNMVC/TSNMVC/Home/AreaLogada", "False"  , "page.locator('[data-modulo-funcao=""12.CTM12.4.7""]')"                 ,     , "item-menu", "javascript:void(0)",          , "12.CTM12.4.7"           , "12"         , "CTM12.4.7"           , "/TSNMVC/ContasMedicas/AberturaRevisao?Tipo=abertura&PT=Abertura Total&pm=12&pcf=CTM12.4.7&pprf=TI_SAUDE_ANS_ANL_SR,SINISTRO_AVISO,INTERCAMBIO_ANALISE,ADMIN&PPRM=N,N,N,N,N,S&tipoFuncao=X"                       , "X"               , "link"
"20"   , "k_73_EGA0001"                                          , "73.EGA0001"                                                            , "Abrangência (US)"                                    , "a"  , "http://10.130.113.19/TSNMVC/TSNMVC/Home/AreaLogada", "False"  , "page.locator('[data-modulo-funcao=""73.EGA0001""]')"                   ,     , "item-menu", "javascript:void(0)",          , "73.EGA0001"             , "73"         , "EGA0001"             , "/ace/mvcToAsp.asp?../../ega/asp/ega0001a.asp$$$p=&PT=Abrangência (US)&pm=73&pcf=EGA0001&pprf=ADMIN,TI_SAUDE_ANS_ANL_SR&PPRM=S,S,S,S,N,N&tipoFuncao=A"                                                           , "A"               , "link"
"21"   , "k_2_ANS2_7_1"                                          , "2.ANS2.7.1"                                                            , "Abrangência ANS"                                     , "a"  , "http://10.130.113.19/TSNMVC/TSNMVC/Home/AreaLogada", "False"  , "page.locator('[data-modulo-funcao=""2.ANS2.7.1""]')"                   ,     , "item-menu", "javascript:void(0)",          , "2.ANS2.7.1"             , "2"          , "ANS2.7.1"            , "/ace/mvcToAsp.asp?../../ans/asp/ans1014a.asp$$$p=&PT=Abrangência ANS&pm=2&pcf=ANS2.7.1&pprf=TI_SAUDE_ANS_ANL_SR,ADMIN&PPRM=S,S,S,S,N,N&tipoFuncao=A"                                                            , "A"               , "link"
"22"   , "k_73_CMS9_15"                                          , "73.CMS9.15"                                                            , "Abrangência Filial Fiscal"                           , "a"  , "http://10.130.113.19/TSNMVC/TSNMVC/Home/AreaLogada", "False"  , "page.locator('[data-modulo-funcao=""73.CMS9.15""]')"                   ,     , "item-menu", "javascript:void(0)",          , "73.CMS9.15"             , "73"         , "CMS9.15"             , "/ace/mvcToAsp.asp?../../cms/asp/cms0219a.asp$$$p=&PT=Abrangência Filial Fiscal&pm=73&pcf=CMS9.15&pprf=ADMIN,TI_SAUDE_ANS_ANL_SR&PPRM=S,S,S,S,N,N&tipoFuncao=A"                                                  , "A"               , "link"
"23"   , "k_73_CMS9_20"                                          , "73.CMS9.20"                                                            , "Abrangência Região Comercial"                       , "a"  , "http://10.130.113.19/TSNMVC/TSNMVC/Home/AreaLogada", "False"  , "page.locator('[data-modulo-funcao=""73.CMS9.20""]')"                   ,     , "item-menu", "javascript:void(0)",          , "73.CMS9.20"             , "73"         , "CMS9.20"             , "/ace/mvcToAsp.asp?../../cms/asp/cms0241a.asp$$$p=&PT=Abrangência Região Comercial&pm=73&pcf=CMS9.20&pprf=TI_SAUDE_ANS_ANL_SR,ADMIN&PPRM=N,N,N,S,N,N&tipoFuncao=A"                                              , "A"               , "link"
"24"   , "k_73_CMS9_21"                                          , "73.CMS9.21"                                                            , "Abrangência Sub-região Comercial"                   , "a"  , "http://10.130.113.19/TSNMVC/TSNMVC/Home/AreaLogada", "False"  , "page.locator('[data-modulo-funcao=""73.CMS9.21""]')"                   ,     , "item-menu", "javascript:void(0)",          , "73.CMS9.21"             , "73"         , "CMS9.21"             , "/ace/mvcToAsp.asp?../../cms/asp/cms0242a.asp$$$p=&PT=Abrangência Sub-região Comercial&pm=73&pcf=CMS9.21&pprf=TI_SAUDE_ANS_ANL_SR,ADMIN&PPRM=N,N,N,S,N,N&tipoFuncao=A"                                          , "A"               , "link"
"25"   , "k_73_CMS9_16"                                          , "73.CMS9.16"                                                            , "Abrangência Unidade"                                 , "a"  , "http://10.130.113.19/TSNMVC/TSNMVC/Home/AreaLogada", "False"  , "page.locator('[data-modulo-funcao=""73.CMS9.16""]')"                   ,     , "item-menu", "javascript:void(0)",          , "73.CMS9.16"             , "73"         , "CMS9.16"             , "/ace/mvcToAsp.asp?../../cms/asp/cms0221a.asp$$$p=&PT=Abrangência Unidade&pm=73&pcf=CMS9.16&pprf=ADMIN,TI_SAUDE_ANS_ANL_SR&PPRM=S,S,S,S,N,N&tipoFuncao=A"                                                        , "A"               , "link"
